likes,body,id
0,"⏩ #Linux #IT #linuxthebest #Void
✅ Осваиваем Void Enlightenment

Сегодня хочу представить всем обзор очень интересной, самобытной и реально крутой операционной системы, созданной с нуля, и которую абсолютно не заслуженно(на мой взгляд) все обходят своим вниманием. Это Void Linux

Источник: https://linuxthebest.net/osvaivaem-void-enlightenment/",48305
0,"⏩ #Linux #IT #linuxthebest #Discord
✅ Как стримить в Discord на Linux

Этот термин не нов для геймеров, так как это один из наиболее часто используемых способов взаимодействия с другими игроками независимо от их местонахождения. Сейчас доступно так много вариантов потоковой передачи, что пользователям трудно выбрать лучший вариант потоковой передачи. Благодаря своей легкости и простому в использовании графическому пользовательскому интерфейсу Discord, возможно, стал одним из лучших потоковых сервисов. Этому в основном способствовало непревзойденное качество сжатия, которое гарантирует пользователям стабильное потоковое соединение. Кроме того, тот факт, что голосовой чат Discord надежен и имеет высокое качество, бросает вызов его конкурентам, и пользователям он нравится за простоту настройки и использования.

Источник: https://linuxthebest.net/kak-strimit-v-discord/",48304
0,👌,48298
0,"⏩ #Linux #IT #linuxthebest #Cinnamon
✅ Как настроить рабочий стол Cinnamon

Рабочий стол Cinnamon — один из самых модных и простых в использовании рабочих столов для Linux. Большинство пользователей Windows или новичков переключаются на рабочий стол Cinnamon из Windows, чтобы впервые попробовать Linux.
Могут быть варианты, чтобы он выглядел как Mac, Windows или совершенно новый вид. Но настройка рабочего стола Cinnamon означает не только предоставление ему новой темы и новых пакетов значков.

Источник: https://linuxthebest.net/kak-nastroit-rabochij-stol-cinnamon/",48296
0,"⏩ #Linux #IT #linuxthebest
✅ 9 малоизвестных дистрибутивов Linux

Ядро Linux с открытым исходным кодом дало жизнь множеству отличных дистрибутивов. Несмотря на ограниченный охват, каждый из упомянутых ниже дистрибутивов имеет свои достоинства, что делает их особенными. Если вы пользователь, который ищет не распространенные и малоизвестные дистрибутивы Linux, то ниже не сколько вариантов.

Источник: https://linuxthebest.net/9-maloizvestnyh-distributivov-linux/",48294
0,"У меня не отображались миниатюры я в вёл команду sudo apt install ffmpegthumbnailer,половина миниатюр стала просматриваться а другая половино попрежнему не просматривается.Как ркшить проблемму?",48293
0,"⏩ #Linux #IT #linuxthebest #Rolling
✅ 8 лучших дистрибутивов Linux с непрерывным выпуском

Эти дистрибутивы не ждут шесть месяцев или более, чтобы выпустить новую версию с более новыми версиями ядра Linux, среды рабочего стола и других основных программных компонентов. Они обновляют эти компоненты вскоре после их выпуска. Вам не нужно обновлять свой дистрибутив с одной основной версии на другую, потому что ваш дистрибутив регулярно получает обновления.

Давайте взглянем на некоторые из лучших дистрибутивов Linux с непрерывным выпуском которые вы можете использовать на настольных компьютерах.
ДЕБИАН также входит в это число :)

Источник: https://linuxthebest.net/8-luchshih-distributivov-linux-s-nepreryvnym-vypuskom/",48292
1,"⏩ #Linux #IT #linuxthebest #WSL
✅ Запуск рабочего стола Linux с помощью Подсистемы Windows для Linux (WSL)

Все чаще приходится использовать Linux вместе с Windows. Но с двойной загрузкой иногда сложно справиться, а при настройке виртуальной машины могут возникнуть проблемы со стабильностью.
Одно из решений — использовать подсистему Windows для Linux. Вот как запустить рабочий стол Linux в Windows с помощью подсистемы Windows для Linux.

Источник: https://linuxthebest.net/zapusk-rabochego-stola-linux-s-pomoshhyu-podsistemy-windows-dlya-linux-wsl/",48291
0,"⏩ #Linux #IT #linuxthebest #old
✅ 14 дистрибутивов, которые подарят жизнь старому ПК

Старые ПК не отвечают требованиям современных операционных систем и программного обеспечения. Хотя обновление оборудования, такого как память, может помочь, лучшим решением в таком случае является облегченная операционная система.
Если вы ищете легкую операционную систему для своего ПК, попробуйте эти компактные дистрибутивы Linux с небольшими системными требованиями.

Источник: https://linuxthebest.net/14-distributivov-kotorye-podaryat-zhizn-staromu-pk/",48289
0,"⏩ #Linux #IT #linuxthebest #GoboLinux
✅ GoboLinux — непохожий ни на один другой

Существует множество дистрибутивов Linux, но GoboLinux — это зверь другого рода. Это альтернативный дистрибутив Linux, который переопределяет всю иерархию файловой системы. В нем вам не нужна база данных пакетов, потому что файловая система является базой данных.
GoboLinux — это дистрибутив Linux, созданный с нуля. Он был создан еще в 2002 году из-за желания попробовать новые подходы в области дизайна дистрибутива Linux.

Источник: https://linuxthebest.net/gobolinux-nepohozhij-ni-na-odin-drugoj/",48288
1,"⏩ #Linux #IT #linuxthebest #mobile
✅ postmarketOS — Linux для телефонов и мобильных устройств

postmarketOS — это бесплатная ОС для мобильных устройств, которая создана по образцу традиционных дистрибутивов Linux, ориентированная на конфиденциальность и безопасность.
Новая версия postmarketOS 21.12 обеспечивает поддержку большего количества мобильных устройств, приложений GNOME 41 и последние достижения мобильного окружения. Она основана на Alpine Linux 3.15 — облегченного и ориентированного на безопасность дистрибутива Linux.

Источник: https://linuxthebest.net/postmarketos-linux-dlya-telefonov-i-mobilnyh-ustrojstv/",48287
1,эй убунтисты! как растянуть на весь экран nestopia-эмулятор?...А то он открывается в окне.Ubuntu-Unity 21.10. nestopia-1.50,48286
0,Вот так выглядит новейшая UBUNTU 22.04,48285
0,"⏩ #Linux #IT #linuxthebest #HDD #SSD
✅ Как использовать дисковую утилиту Ubuntu для лучшего управления HDD/SSD

При использовании Linux бывают случаи, когда вам может потребоваться управлять жесткими дисками, съемными носителями, такими как USB-накопители и SD-карты, и т. д. Это особенно верно, если вы планируете использовать Ubuntu с двойной загрузкой с Windows или вторую установку Linux.
Поэтому важно знать, как вы можете управлять своими дисками и разделами, которые на них находятся. Изменение размера раздела, переформатирование жесткого диска или проверка его работоспособности — вот некоторые из вещей, которые вы можете сделать с помощью встроенного в Ubuntu инструмента управления дисками, известного как «Disks».

Источник: https://linuxthebest.net/kak-ispolzovat-diskovuyu-utilitu-ubuntu-dlya-luchshego-upravleniya-hdd-ssd/",48284
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ 6 инструментов командной строки для мониторинга производительности

Ядро Linux лежит в основе многих новых технологий и платформ, таких как Android, контроллеры SDN, контейнеры, а его сервисы в качестве сетевой ОС или сервера. Эти высокие требования требуют надлежащего управления, надежности и доступности размещенных приложений, веб-сайтов и базовой ОС Linux.
В статье описаны инструменты для мониторинга производительности Linux из командной строки. Узнайте, как эти инструменты интерфейса командной строки могут помочь устранить узкие места в системе, сети, ЦП и диске.

Источник: https://linuxthebest.net/6-instrumentov-komandnoj-stroki-dlya-monitoringa-proizvoditelnosti/",48283
1,Нативные игры для Linux [стр. 1] :: Игры :: RuTracker.org,48281
1,"⏩ #Linux #IT #linuxthebest #Rescue #Antivirus
✅ Загрузочный диск Ubuntu RescuePack 22.01 с антивирусными сканерами!

Ubuntu RescuePack — это бесплатный загрузочный диск с уже установленными в нём 8-ю антивирусными сканерами для обнаружения вредоносных программ и лечения заражённых компьютеров. Диск также укомплектован инструментами для восстановления удалённых или поврежденных файлов и разделов.

Источник: https://linuxthebest.net/zagruzochnyj-zhivoj-disk-ubuntu-rescuepack-s-antivirusnymi-skanerami/",48280
0,https://youtu.be/qLylKCpf-hc,48279
0,"⏩ #Linux #IT #linuxthebest #Yandex
✅ Установить Yandex браузер в Linux

Yandex (Яндекс.Браузер) — браузер, созданный компанией «Яндекс» на основе движка Blink, используемого в открытом браузере Chromium. На этом движке построены также Google Chrome, ChomeOS, Microsoft Edge и много других проектов. По сути этот движок становится единым стандартом в мире веб-браузеров. Поэтому работая в Яндекс.Браузере вы по сути работаете в том же самом Google Chrome только с фишками Яндекс.

Источник: https://linuxthebest.net/yandex-brauzer-v-ubuntu/",48278
0,"⏩ #Linux #IT #linuxthebest #FileManager
✅ Лучшие файловые менеджеры Linux

В наши дни управление файлами имеет решающее значение, особенно если вы ежедневно работаете с различными файлами. Многие пользователи не знают о большом количестве доступных опций управления файлами или полных возможностях тех, о которых они знают. Как и любая другая часть Linux, файловые менеджеры предоставляют множество альтернатив, и в этой статье будут обсуждаться некоторые из предпочтительных файловых менеджеров.

Источник: https://linuxthebest.net/luchshie-fajlovye-menedzhery-linux/",48277
0,Что это такое?,48276
0,"Здравствуйте, прошу помочь. На elementary os пропал интернет, браузеры и магазин приложений не работают. Приложение телеграм работает. 
Попробовал вбить через терминал ""sudo apt-get update"", выдаёт это.
Как исправить?",48274
0,"⏩ #Linux #IT #linuxthebest #Media
✅ Как установить Jellyfin Media Player в Linux

Jellyfin Media Player — это инструмент, который пользователи могут установить в Linux для просмотра контента, размещенного на их Jellyfin Media Server. Эта программа поддерживается в Ubuntu/Debian/Arch Linux/OpenSUSE, а также доступна для других дистрибутивов через пакет Flatpak.

Источник: https://linuxthebest.net/kak-ustanovit-jellyfin-media-player-v-linux/",48273
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ Монтируем жесткий диск в Linux с помощью командной строки

Если вы хотите чаще использовать терминал, научитесь вручную монтировать жесткий диск и снова отключать его в системе Linux. Кроме того, если вы окажетесь в ситуации, когда у вас нет возможности использовать традиционный рабочий стол, знание того, как это сделать, может сэкономить много времени и усилий.

Источник: https://linuxthebest.net/montiruem-zhestkij-disk-v-linux-s-pomoshhyu-komandnoj-stroki/",48272
0,"⏩ #Linux #IT #linuxthebest #PDF
✅ Как конвертировать PDF в изображения в Linux

Этот обзор подробно расскажет, как выполнить процесс преобразования страницы документа PDF в файлы изображений PNG, JPEG и многие другие форматы. Конечно, по многим причинам вы всегда можете найти сайт онлайн-конвертера, который легко конвертирует PDF в изображения; однако нет никакой гарантии, что ваш файл всегда будет в безопасности. Следовательно, мы рекомендуем конвертировать PDF непосредственно в вашей системе и не доверять свои документы онлайн-конвертерам.

Источник: https://linuxthebest.net/kak-konvertirovat-pdf-v-izobrazheniya-v-linux/",48271
0,"⏩ #Linux #IT #linuxthebest #GNOME
✅ 8 основных функций среды рабочего стола GNOME

GNOME - один из старейших и самых популярных интерфейсов для бесплатных операционных систем с открытым исходным кодом, таких как Linux. Современный GNOME не похож на то, что было изначально, он превратился в один из лучших… 

Источник: https://linuxthebest.net/8-osnovnyh-funkczij-sredy-rabochego-stola-gnome/",48260
1,"Господа, с Новым годом! Наступила печаль-тоска:ubuntu 20.04.3 перестала выключаться с ядром 5.11.44.. Последняя стабильная работа была только на ядре 5.11.40...Что делать? Сидеть под 40 м ядром без обновлений? Или есть какие-то иные способы?",48258
0,"⏩ #Linux #IT #linuxthebest #Debian
✅ 10 дистрибутивов на основе Debian

Стандартный Debian и его популярное ответвление Ubuntu - отличный универсальный выбор для системы Linux, но если у вас есть более специализированные потребности, вам может понадобиться альтернатива Debian. Вот список лучших дистрибутивов на основе Debian, которые… 

Источник: https://linuxthebest.net/10-distributivov-na-osnove-debian/",48257
0,"⏩ #Linux #IT #linuxthebest #WiFi
✅ 16 лучших программ для взлома Wi-Fi

Технология Wi-Fi разрабатывалась, как безопасная сеть, с доступом по паролю. Но со временем находились уязвимости в самом протоколе и в его реализациях, из-за чего сеть становились небезопасной. В наше время беспроводные сети используются буквально повсюду.… 

Источник: https://linuxthebest.net/programmy-dlya-vzloma-wi-fi/",48256
1,"⏩ #Linux #IT #linuxthebest #3D
✅ Эффект волшебной лампы и 3D куб в Xfce

Всем нравятся яркие эффекты, которые можно включить с помощью Compiz, но это не везде возможно, в том числе и в рабочем окружении Xfce, да и сам Compiz уже давно не обновлялся. Как включить различные спецэффекты… 

Источник: https://linuxthebest.net/yeffekt-volshebnoy-lampy-3d-kub-v-xfce-s-pomoshh/",48255
0,"⏩ #Linux #IT #linuxthebest #BusyBox
✅ Как использовать BusyBox

Команды Linux всегда воспринимаются как должное. Они поставляются вместе с системой при установке Linux, и мы часто не задаемся вопросом, зачем они нужны. Некоторые из основных команд, такие как cd, kill и echo, не всегда…

Источник: https://linuxthebest.net/kak-ispolzovat-busybox/",48254
0,"⏩ #Linux #IT #linuxthebest #security
✅ 10 причин скрыть свой IP-адрес

Подобно вашему адресу проживания, IP-адрес помогает идентифицировать устройства, подключенные к Интернету, включая ваши компьютеры, смартфоны и серверы. Начиная с веб-сайта, который вы посещаете, или с потоковой службы, которую вы используете, все собирает ваш IP-адрес. Даже… 

Источник: https://linuxthebest.net/10-prichin-skryt-svoj-ip-adres/",48253
0,"⏩ #Linux #IT #linuxthebest #Flutter
✅ Как установить Flutter в Ubuntu

Flutter - это SDK для создания кроссплатформенных приложений с использованием единой базы кода. Спроектированный, разработанный и оптимизированный Google как идеальный комплект для разработки программного обеспечения пользовательского интерфейса, используемый для разработки приложений Android, Linux, Mac, Windows,… 

Источник: https://linuxthebest.net/kak-ustanovit-flutter-v-ubuntu/",48251
1,"⏩ #Linux #IT #linuxthebest #security
✅ Kali Linux, BackBox, Parrot OS или Ubuntu CyberPack: что выбрать?

Когда речь идет об информационной безопасности, вы можете поверить в то, что все защищено или убедиться в этом сами. Возможно, вы будете тем человеком, к которому обращаются другие люди, чтобы подтвердить их безопасность. В любом… 

Источник: https://linuxthebest.net/kali-linux-backbox-ili-parrot-os-chto-vybrat/",48250
0,,48249
3,"⏩ #Linux #IT #linuxthebest #visual
✅ GNOME: эффект сжигания окна вместо закрытия

Мы уже писали про яркие визуальные эффекты на вашем рабоч столе, такие как ""вязкие окна"", ""волшебная лампа"", ""небольшое размытие фона"", ""трехмерный рабочий стол"". Теперь мы расскажем вам как включить эффект Fiery Window (сжигания) при закрытии… 

Источник: https://linuxthebest.net/gnome-effekt-szhiganiya-okna-vmesto-zakrytiya/",48248
0,"Artic Aurora независимый разработчик средств защиты пользовательских данных выпустила релиз IRIS
https://iris.ink/
IRIS - виртуальный пользователь веб сети, посещает страницы и формирует собственные поисковые запросы.
Противодействует получению информации нежелательным лицам, мошейникам, хакерам. Заполняет историю посещений пользователя на используемом устройстве и в стороних базах
Artic Aurora в ВК
https://vk.com/articaurora",48247
0,"⏩ #Linux #IT #linuxthebest #words
✅ Лучшие текстовые процессоры для Linux

Текстовый процессор - программа, которая существует практически на каждом компьютере! И в этой статье мы рассмотрим лучшие из них для Linux. Наверное, не стоит даже говорить, что самое большое число персональных компьютеров в наше время… 

Источник: https://linuxthebest.net/luchshie-tekstovye-proczessory-dlya-linux/",48246
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ Без графического интерфейса — как полноценно работать в терминале

Что может заставит человека отказаться от всех функций современных графических рабочих столов и вместо этого искусственно ограничить себя использованием только текстового программного обеспечения командной строки, как если бы он застрял в начале 1980-х? Работа в… 

Источник: https://linuxthebest.net/bez-graficheskogo-interfejsa-kak-polnoczenno-rabotat-v-terminale/",48245
0,"⏩ #Linux #IT #linuxthebest #os
✅ Ubuntu Web: альтернатива Chrome OS

Если вам нужна веб-ОС, которая не использует вашу личную информацию, Ubuntu Web - это то, что вам нужно. В этой статье мы расскажем, где ее взять, как установить и что можно с ней сделать. Как… 

Источник: https://linuxthebest.net/ubuntu-web-alternativa-chrome-os/",48244
0,"⏩ #Linux #IT #linuxthebest #desktop
✅ GNOME: Крутой 3D эффект рабочего стола

Мы уже писали про эффекты ""вязкие окна"", ""волшебная лампа"" и красиво ""размытый фон"", которые были повторно реализованы в виде расширений GNOME. Теперь хотелось бы рассказать еще про один потрясающий эффект рабочего стола в виде трехмерного… 

Источник: https://linuxthebest.net/gnome-krutij-efekt-3d-robochogo-stolu/",48243
0,"⏩ #Linux #IT #linuxthebest #wine
✅ Как запускать в Linux 64-bit WINE в режиме 32-bit

В настоящее время я использую Ubuntu 64 Bit на своем ноутбуке и хочу установить некоторые программы Windows с Wine, но для работы некоторых программ требуется 32-битная версия Wine, даже если она находится в 64-битной среде...… 

Источник: https://linuxthebest.net/yak-zapustiti-64-bitnij-wine-u-rezhimi-32-bita-v-ubuntu/",48242
0,"⏩ #Linux #IT #linuxthebest #Docker
✅ Как установить Docker в Ubuntu

Docker - это инструмент, который используется для запуска программного обеспечения в контейнере. Это отличный способ для разработчиков и пользователей меньше беспокоиться о совместимости с операционной системой и зависимостями, поскольку содержащееся в нем программное обеспечение должно… 

Источник: https://linuxthebest.net/yak-vstanoviti-docker-v-ubuntu/",48239
0,"⏩ #Linux #IT #linuxthebest #gnome
✅ GNOME: добавьте эффект небольшого размытия

С эффектом небольшого размытия интерфейс GNOME выглядит еще лучше. И есть расширение Blur My Shell, которое это предлагает для GNOME! Недавно му уже рассказывали вам про расширения добавляющие эффекты ""вязких окон"" и ""волшебной лампы"" в… 

Источник: https://linuxthebest.net/gnome-dodajte-efekt-nevelikogo-rozmittya/",48238
1,"⏩ #Linux #IT #linuxthebest #review
✅ Windows vs Linux: 7 причин перейти на Linux

Мнение о том, что Linux - это только серверная операционная система, является устаревшим. Существуют сотни дистрибутивов Linux, разработанных специально, чтобы быть полезными для среднестатистического пользователя настольных компьютеров/ноутбуков, и, возможно, вам пора подумать о переходе с… 

Источник: https://linuxthebest.net/windows-vs-linux-7-prichin-perejti-na-linux/",48237
0,"⏩ #Linux #IT #linuxthebest #gnome
✅ GNOME: Включите эффект волшебной лампы

Этот эффект волшебной лампы минимизации окон на рабочем столе macOS отлично впишется в вашу рабочую среду. Этот эффект реализован в виде расширения GNOME Shell, и отлично справляется с воссозданием этого знаменитого яркого эффекта. Красочные эффекты… 

Источник: https://linuxthebest.net/gnome-uvimknit-efekt-charivno%d1%97-lampi/",48236
0,"⏩ #Linux #IT #linuxthebest #funny
✅ 3 интересных способа использования команды cowsay в Linux

Терминал - это не только команды и конфигурации. Среди всего выдающегося программного обеспечения с открытым исходным кодом некоторые из них были написаны просто для развлечения. Я уже писал о забавных командах раньше, но эта статья…

Источник: https://linuxthebest.net/3-czikavi-sposobi-vikoristannya-komandi-cowsay-v-linux/",48235
0,"⏩ #Linux #IT #linuxthebest #games
✅ Собственная железная дорога с OpenTTD

В детстве я часто представлял себе будущее, в котором у меня будет гараж или подвал, оборудованный миниатюрными пейзажам и свистящим паровозами. Но вероятность того, что я серьезно займусь еще одним хобби, довольно мала, поэтому я… 

Источник: https://linuxthebest.net/sobstvennaya-zheleznaya-doroga-s-openttd/",48234
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ Диагностика проблем с подключением с помощью команды ping

В наши дни сети настолько распространены, что большинство из нас считают само собой разумеющимся, что компьютер на одной стороне комнаты может связываться с компьютером на другой стороне комнаты, а тем более с другой стороной мира.… 

Источник: https://linuxthebest.net/diagnostika-problem-s-podklyucheniem-s-pomoshhyu-komandy-ping/",48233
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ 19 простых вещей в терминале, которые должен знать каждый пользователь Linux

Терминал, который вы видите, является лишь одним из множества доступных терминальных приложений. В конце концов, терминал - это просто инструмент с графическим интерфейсом, который дает вам доступ к оболочке, в которой вы можете запускать команды.… 

Источник: https://linuxthebest.net/19-absolyutno-prostih-rechej-pro-linux-terminal-yaki-povinen-znati-kozhen-koristuvach/",48232
0,"⏩ #Linux #IT #linuxthebest #apps
✅ Как установить Jenkins на Linux

Jenkins - это сервер автоматизации, который помогает автоматизировать тестирование и сборку. Его использование очень быстро выросло, и его используют более 6000 проектов с открытым исходным кодом. Вот несколько примеров пользователей Jenkins: Red Hat Facebook Google… 

Источник: https://linuxthebest.net/yak-vstanoviti-jenkins-na-linux/",48231
0,"⏩ #Linux #IT #linuxthebest #terminal
✅ 7 альтернатив Terminal для Ubuntu

Если вы какое-то время использовали Ubuntu, вы должны знать о возможностях интерфейса командной строки. Он предлагает больший контроль над операционной системой и ее работой, потребляет меньше памяти, чем графический интерфейс, и подходит для автоматизации ваших… 

Источник: https://linuxthebest.net/7-alternativ-terminal-dlya-ubuntu/",48230
0,"⏩ #Linux #IT #linuxthebest #router
✅ 12 способов повторно использовать старый маршрутизатор

Считаете, что пришло время для нового роутера? Возможно, ваш новый интернет-провайдер (ISP) прислал его, или вы просто хотите обновить его. В любом случае вы столкнулись с проблемой: Что делать со старым роутером? Часто при мене… 

Источник: https://linuxthebest.net/12-sposobov-povtorno-ispolzovat-staryj-marshrutizator/",48228
0,"Всем привет. Я новичок. Арендовал для личного пользования сервер на Ubuntu 20.04 LTS Minimal. Через какое-то время решил попробовать прописать ""unminimize"". Установилась гора пакетов. Есть ли возможность снова сделать версию минимальной, при этом используя только терминал? Если да, то как?",48227
